participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
200,hat,hat,28,0,trial_1,congruent,left,left,closed
200,hat,hat,28,0.64,trial_2,congruent,left,left,closed
200,hat,hat,28,0,trial_3,congruent,left,left,closed
200,hat,hat,28,0.93,trial_4,congruent,left,left,closed
200,hat,hat,28,left,exclusion_1,congruent,left,left,closed
200,hat,hat,28,equal,exclusion_2,congruent,left,left,closed
201,tape,hat,64,1,trial_1,incongruent,left,left,closed
201,tape,hat,64,0.79,trial_2,incongruent,left,left,closed
201,tape,hat,64,1,trial_3,incongruent,left,left,closed
201,tape,hat,64,0.57,trial_4,incongruent,left,left,closed
201,tape,hat,64,left,exclusion_1,incongruent,left,left,closed
201,tape,hat,64,equal,exclusion_2,incongruent,left,left,closed
