workerid,exclusion_num,trial_num,target,first_object,second_object
0,NA,1,"""0""",books,books
0,NA,2,0.57,books,books
0,NA,3,"""0""",books,books
0,NA,4,0.52,books,books
0,1,NA,"""right""",books,books
0,2,NA,"""right""",books,books
0,NA,1,"""1""",chair,rulers
0,NA,2,0.81,chair,rulers
0,NA,3,"""0""",chair,rulers
0,NA,4,0.72,chair,rulers
0,1,NA,"""left""",chair,rulers
0,2,NA,"""equal""",chair,rulers
0,NA,1,"""1""",chair,chair
0,NA,2,1,chair,chair
0,NA,3,"""1""",chair,chair
0,NA,4,1,chair,chair
0,1,NA,"""left""",chair,chair
0,2,NA,"""equal""",chair,chair
1,NA,1,"""0""",chair,chair
1,NA,2,1,chair,chair
1,NA,3,"""0""",chair,chair
1,NA,4,1,chair,chair
1,1,NA,"""right""",chair,chair
1,2,NA,"""right""",chair,chair
0,NA,1,"""1""",cinderblocks,rulers
0,NA,2,1,cinderblocks,rulers
0,NA,3,"""1""",cinderblocks,rulers
0,NA,4,0.99,cinderblocks,rulers
0,1,NA,"""right""",cinderblocks,rulers
0,2,NA,"""equal""",cinderblocks,rulers
0,NA,1,"""1""",string,tape
0,NA,2,0.5,string,tape
0,NA,3,"""0""",string,tape
0,NA,4,0.6,string,tape
0,1,NA,"""right""",string,tape
0,2,NA,"""left""",string,tape
1,NA,1,"""0""",string,tape
1,NA,2,0.98,string,tape
1,NA,3,"""0""",string,tape
1,NA,4,1,string,tape
1,1,NA,"""right""",string,tape
1,2,NA,"""equal""",string,tape
0,NA,1,"""1""",string,string
0,NA,2,0.93,string,string
0,NA,3,"""1""",string,string
0,NA,4,0.93,string,string
0,1,NA,"""left""",string,string
0,2,NA,"""equal""",string,string
1,NA,1,"""0""",string,string
1,NA,2,1,string,string
1,NA,3,"""0""",string,string
1,NA,4,1,string,string
1,1,NA,"""right""",string,string
1,2,NA,"""right""",string,string
0,NA,1,"""0""",hat,string
0,NA,2,0.73,hat,string
0,NA,3,"""0""",hat,string
0,NA,4,0.67,hat,string
0,1,NA,"""equal""",hat,string
0,2,NA,"""equal""",hat,string
1,NA,1,"""0""",hat,string
1,NA,2,0.84,hat,string
1,NA,3,"""0""",hat,string
1,NA,4,0.61,hat,string
1,1,NA,"""equal""",hat,string
1,2,NA,"""equal""",hat,string
0,NA,1,"""0""",hat,plant
0,NA,2,0.97,hat,plant
0,NA,3,"""0""",hat,plant
0,NA,4,1,hat,plant
0,1,NA,"""left""",hat,plant
0,2,NA,"""left""",hat,plant
0,NA,1,"""0""",hat,hat
0,NA,2,0.79,hat,hat
0,NA,3,"""0""",hat,hat
0,NA,4,0.89,hat,hat
0,1,NA,"""right""",hat,hat
0,2,NA,"""equal""",hat,hat
