workerid,exclusion_num,trial_num,target,first_object,second_object
0,NA,1,"""0""",hat,string
0,NA,2,0.89,hat,string
0,NA,3,"""0""",hat,string
0,NA,4,0.83,hat,string
0,1,NA,"""equal""",hat,string
0,2,NA,"""equal""",hat,string
0,NA,1,"""0""",hat,hat
0,NA,2,0.64,hat,hat
0,NA,3,"""0""",hat,hat
0,NA,4,0.93,hat,hat
0,1,NA,"""left""",hat,hat
0,2,NA,"""equal""",hat,hat
0,NA,1,"""1""",tape,hat
0,NA,2,0.79,tape,hat
0,NA,3,"""1""",tape,hat
0,NA,4,0.57,tape,hat
0,1,NA,"""left""",tape,hat
0,2,NA,"""equal""",tape,hat
