workerid,exclusion_num,trial_num,target,first_object,second_object
0,NA,1,"""1""",books,chair
0,NA,2,0.79,books,chair
0,NA,3,"""0""",books,chair
0,NA,4,0.81,books,chair
0,1,NA,"""right""",books,chair
0,2,NA,"""equal""",books,chair
1,NA,1,"""1""",books,chair
1,NA,2,0.69,books,chair
1,NA,3,"""1""",books,chair
1,NA,4,0.39,books,chair
1,1,NA,"""left""",books,chair
1,2,NA,"""equal""",books,chair
2,NA,1,"""0""",books,chair
2,NA,2,1,books,chair
2,NA,3,"""0""",books,chair
2,NA,4,0.71,books,chair
2,1,NA,"""right""",books,chair
2,2,NA,"""equal""",books,chair
0,NA,1,"""0""",books,cinderblocks
0,NA,2,0.33,books,cinderblocks
0,NA,3,"""0""",books,cinderblocks
0,NA,4,0.54,books,cinderblocks
0,1,NA,"""left""",books,cinderblocks
0,2,NA,"""equal""",books,cinderblocks
1,NA,1,"""0""",books,cinderblocks
1,NA,2,0.69,books,cinderblocks
1,NA,3,"""1""",books,cinderblocks
1,NA,4,0.91,books,cinderblocks
1,1,NA,"""right""",books,cinderblocks
1,2,NA,"""left""",books,cinderblocks
2,NA,1,"""0""",books,cinderblocks
2,NA,2,0,books,cinderblocks
2,NA,3,"""1""",books,cinderblocks
2,NA,4,1,books,cinderblocks
2,1,NA,"""right""",books,cinderblocks
2,2,NA,"""equal""",books,cinderblocks
3,NA,1,"""0""",books,cinderblocks
3,NA,2,0.98,books,cinderblocks
3,NA,3,"""0""",books,cinderblocks
3,NA,4,0.98,books,cinderblocks
3,1,NA,"""right""",books,cinderblocks
3,2,NA,"""left""",books,cinderblocks
0,NA,1,"""0""",books,rulers
0,NA,2,0.52,books,rulers
0,NA,3,"""1""",books,rulers
0,NA,4,0.5,books,rulers
0,1,NA,"""right""",books,rulers
0,2,NA,"""left""",books,rulers
1,NA,1,"""1""",books,rulers
1,NA,2,0.34,books,rulers
1,NA,3,"""1""",books,rulers
1,NA,4,0.4,books,rulers
1,1,NA,"""right""",books,rulers
1,2,NA,"""left""",books,rulers
2,NA,1,"""1""",books,rulers
2,NA,2,0.89,books,rulers
2,NA,3,"""1""",books,rulers
2,NA,4,0.25,books,rulers
2,1,NA,"""right""",books,rulers
2,2,NA,"""equal""",books,rulers
0,NA,1,"""0""",chair,books
0,NA,2,0.67,chair,books
0,NA,3,"""0""",chair,books
0,NA,4,0.65,chair,books
0,1,NA,"""right""",chair,books
0,2,NA,"""equal""",chair,books
1,NA,1,"""1""",chair,books
1,NA,2,0.98,chair,books
1,NA,3,"""1""",chair,books
1,NA,4,0.99,chair,books
1,1,NA,"""right""",chair,books
1,2,NA,"""equal""",chair,books
2,NA,1,"""0""",chair,books
2,NA,2,0.92,chair,books
2,NA,3,"""0""",chair,books
2,NA,4,0.69,chair,books
2,1,NA,"""right""",chair,books
2,2,NA,"""equal""",chair,books
3,NA,1,"""1""",chair,books
3,NA,2,0.84,chair,books
3,NA,3,"""1""",chair,books
3,NA,4,0.14,chair,books
3,1,NA,"""right""",chair,books
3,2,NA,"""equal""",chair,books
0,NA,1,"""1""",chair,cinderblocks
0,NA,2,0.78,chair,cinderblocks
0,NA,3,"""0""",chair,cinderblocks
0,NA,4,0.37,chair,cinderblocks
0,1,NA,"""left""",chair,cinderblocks
0,2,NA,"""equal""",chair,cinderblocks
1,NA,1,"""1""",chair,cinderblocks
1,NA,2,1,chair,cinderblocks
1,NA,3,"""1""",chair,cinderblocks
1,NA,4,0.5,chair,cinderblocks
1,1,NA,"""right""",chair,cinderblocks
1,2,NA,"""left""",chair,cinderblocks
2,NA,1,"""1""",chair,cinderblocks
2,NA,2,0.82,chair,cinderblocks
2,NA,3,"""1""",chair,cinderblocks
2,NA,4,1,chair,cinderblocks
2,1,NA,"""right""",chair,cinderblocks
2,2,NA,"""equal""",chair,cinderblocks
0,NA,1,"""1""",chair,rulers
0,NA,2,0.48,chair,rulers
0,NA,3,"""0""",chair,rulers
0,NA,4,0.26,chair,rulers
0,1,NA,"""left""",chair,rulers
0,2,NA,"""equal""",chair,rulers
1,NA,1,"""1""",chair,rulers
1,NA,2,0.54,chair,rulers
1,NA,3,"""0""",chair,rulers
1,NA,4,0.65,chair,rulers
1,1,NA,"""left""",chair,rulers
1,2,NA,"""equal""",chair,rulers
2,NA,1,"""0""",chair,rulers
2,NA,2,0.69,chair,rulers
2,NA,3,"""1""",chair,rulers
2,NA,4,0.68,chair,rulers
2,1,NA,"""right""",chair,rulers
2,2,NA,"""equal""",chair,rulers
0,NA,1,"""1""",cinderblocks,books
0,NA,2,0.99,cinderblocks,books
0,NA,3,"""0""",cinderblocks,books
0,NA,4,0.5,cinderblocks,books
0,1,NA,"""left""",cinderblocks,books
0,2,NA,"""equal""",cinderblocks,books
1,NA,1,"""1""",cinderblocks,books
1,NA,2,0.98,cinderblocks,books
1,NA,3,"""1""",cinderblocks,books
1,NA,4,0.34,cinderblocks,books
1,1,NA,"""right""",cinderblocks,books
1,2,NA,"""equal""",cinderblocks,books
2,NA,1,"""1""",cinderblocks,books
2,NA,2,0.81,cinderblocks,books
2,NA,3,"""0""",cinderblocks,books
2,NA,4,0.49,cinderblocks,books
2,1,NA,"""left""",cinderblocks,books
2,2,NA,"""equal""",cinderblocks,books
0,NA,1,"""1""",cinderblocks,chair
0,NA,2,1,cinderblocks,chair
0,NA,3,"""0""",cinderblocks,chair
0,NA,4,0.48,cinderblocks,chair
0,1,NA,"""left""",cinderblocks,chair
0,2,NA,"""right""",cinderblocks,chair
1,NA,1,"""1""",cinderblocks,chair
1,NA,2,0.62,cinderblocks,chair
1,NA,3,"""0""",cinderblocks,chair
1,NA,4,0.18,cinderblocks,chair
1,1,NA,"""left""",cinderblocks,chair
1,2,NA,"""equal""",cinderblocks,chair
2,NA,1,"""1""",cinderblocks,chair
2,NA,2,0.97,cinderblocks,chair
2,NA,3,"""0""",cinderblocks,chair
2,NA,4,0.19,cinderblocks,chair
2,1,NA,"""right""",cinderblocks,chair
2,2,NA,"""equal""",cinderblocks,chair
0,NA,1,"""1""",cinderblocks,rulers
0,NA,2,0.95,cinderblocks,rulers
0,NA,3,"""1""",cinderblocks,rulers
0,NA,4,0.92,cinderblocks,rulers
0,1,NA,"""right""",cinderblocks,rulers
0,2,NA,"""left""",cinderblocks,rulers
1,NA,1,"""1""",cinderblocks,rulers
1,NA,2,0.84,cinderblocks,rulers
1,NA,3,"""1""",cinderblocks,rulers
1,NA,4,0.58,cinderblocks,rulers
1,1,NA,"""right""",cinderblocks,rulers
1,2,NA,"""equal""",cinderblocks,rulers
2,NA,1,"""1""",cinderblocks,rulers
2,NA,2,0.95,cinderblocks,rulers
2,NA,3,"""1""",cinderblocks,rulers
2,NA,4,0.84,cinderblocks,rulers
2,1,NA,"""right""",cinderblocks,rulers
2,2,NA,"""left""",cinderblocks,rulers
3,NA,1,"""1""",cinderblocks,rulers
3,NA,2,1,cinderblocks,rulers
3,NA,3,"""1""",cinderblocks,rulers
3,NA,4,0.65,cinderblocks,rulers
3,1,NA,"""left""",cinderblocks,rulers
3,2,NA,"""equal""",cinderblocks,rulers
0,NA,1,"""1""",rulers,books
0,NA,2,0.75,rulers,books
0,NA,3,"""0""",rulers,books
0,NA,4,0.82,rulers,books
0,1,NA,"""equal""",rulers,books
0,2,NA,"""equal""",rulers,books
1,NA,1,"""1""",rulers,books
1,NA,2,0.85,rulers,books
1,NA,3,"""0""",rulers,books
1,NA,4,0.76,rulers,books
