workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,first_object,second_object
0,"""english""","""2""","""Female""","""26""","""no""","""""","""Yes""","""yes""","""3""",chair,chair
0,"""English""","""2""","""Female""","""23""","""no""","""""","""Yes""",""".30""","""2""",string,string
0,"""English""","""1""","""Male""","""57""","""no""","""Thank you!""","""Yes""","""0.50""","""2""",hat,string
1,"""ENGLSH""","""2""","""Male""","""59""","""NO""","""VERY NICE""","""No""","""0.30""","""3""",hat,string
0,"""English""","""1""","""Female""","""32""","""No""","""Thank you!""","""Yes""","""0.45""","""2""",hat,plant
0,"""English""","""2""","""Male""","""70""","""No.""","""No.""","""Yes""","""$0.50""","""2""",hat,hat
1,"""English""","""2""","""Female""","""55""","""no""","""""","""Yes""",""".30""","""3""",hat,hat
0,"""English""","""2""","""Female""","""30""","""No""","""None""","""Yes""","""Fair""","""3""",rulers,chair
0,"""english""","""2""","""Female""","""31""","""no""","""""","""Yes""",""".35""","""2""",rulers,rulers
0,"""English""","""2""","""Female""","""33""","""None""","""None""","""Yes""","""30""","""3""",tape,hat
